Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.8228	2.4149	430.7	1981.1
2	Spectrogram 1	1	3.6455	4.2725	452.2	2131.8
3	Spectrogram 1	1	4.7253	5.1432	538.3	2476.3
4	Spectrogram 1	1	6.9892	7.6161	516.8	2368.7
5	Spectrogram 1	1	8.0922	8.4985	581.4	2627.1
6	Spectrogram 1	1	9.6827	10.1355	452.2	2110.3
7	Spectrogram 1	1	11.2152	11.6332	559.9	2540.9
8	Spectrogram 1	1	13.0496	13.5837	430.7	2024.1
9	Spectrogram 1	1	15.0233	15.6154	559.9	2519.4
10	Spectrogram 1	1	16.4629	17.1015	495.3	2304.1
11	Spectrogram 1	1	18.6108	19.0288	516.8	2390.2
