Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Corroborated
1	Spectrogram 1	1	1.1146	1.4048	624.5	2842.4	True
2	Spectrogram 1	1	1.7995	2.3452	624.5	3316.1	True
3	Spectrogram 1	1	3.3785	4.1099	473.7	3208.4	True
4	Spectrogram 1	1	4.2609	5.2825	516.8	3057.7	True
5	Spectrogram 1	1	7.175	8.7423	516.8	3402.2	True
6	Spectrogram 1	1	9.555	11.8422	366.1	3230.0	True
7	Spectrogram 1	1	13.8971	14.6054	516.8	3294.6	True
8	Spectrogram 1	1	15.093	16.0334	473.7	3057.7	True
9	Spectrogram 1	1	19.1565	19.4699	710.6	3230.0	True
10	Spectrogram 1	1	22.9181	23.754	323.0	2993.1	True
11	Spectrogram 1	1	23.8005	24.021	452.2	3445.3	True
12	Spectrogram 1	1	24.0675	24.3345	387.6	3380.7	True
13	Spectrogram 1	1	24.8105	25.7741	409.1	3294.6	True
14	Spectrogram 1	1	27.6317	28.0149	516.8	3682.2	True
15	Spectrogram 1	1	29.2804	29.768	559.9	2885.4	True
